No,Items,Standardval,Defmax ,Defmin,Result ,Type
1,FAI12_A,21.2,0.15,-0.15,,正面3D
2,FAI12_B,20.32,0.15,-0.15,,正面3D
3,FAI12_C,0,0.2,0,,正面3D
4,FAI12_D,9.6,0.15,-0.15,,正面3D
5,FAI12_E,0,0.2,0,,正面3D
6,FAI12_F,9.6,0.15,-0.15,,正面3D
7,FAI12_G,4.18,0.15,-0.15,,正面3D
8,FAI12_H,2.96,0.15,-0.15,,正面3D
9,FAI13_A2,5.52,0.15,-0.15,,正面3D
10,FAI13_B2,5.52,0.15,-0.15,,正面3D
11,FAI13_C2,8.2,0.15,-0.15,,正面3D
12,FAI13_D2,1.715,0.1,-0.1,,正面3D
13,FAI13_E2,1.715,0.1,-0.1,,正面3D
14,FAI13_F2,1.715,0.1,-0.1,,正面3D
15,FAI13_G2,1.715,0.1,-0.1,,正面3D
16,FAI13_H2,1.715,0.1,-0.1,,正面3D
17,FAI15,1.715,0.1,-0.1,,正面3D
18,FAI15_1,1.715,0.1,-0.1,,正面3D
19,FAI15_2,1.715,0.1,-0.1,,正面3D
20,FAI15_3,0.8,0.1,-0.1,,正面3D
21,FAI15_4,0.8,0.1,-0.1,,正面3D
22,FAI15_5,0.8,0.1,-0.1,,正面3D
23,FAI15_6,0.8,0.1,-0.1,,正面3D
24,FAI15_7,0.8,0.1,-0.1,,正面3D
25,FAI15_8,0.8,0.1,-0.1,,正面3D
26,FAI16,0.8,0.1,-0.1,,正面3D
27,FAI21_A,0.8,0.1,-0.1,,正面3D
28,FAI21_B,0.8,0.1,-0.1,,正面3D
29,FAI21_C,0.8,0.1,-0.1,,正面3D
30,FAI21_D,0.8,0.1,-0.1,,正面3D
31,FAI21_E,0.8,0.1,-0.1,,正面3D
32,FAI21_G,0.8,0.1,-0.1,,正面3D
33,FAI1,0.8,0.1,-0.1,,正面2D
34,FAI2,0.8,0.1,-0.1,,正面2D
35,FAI3,0.8,0.1,-0.1,,正面2D
36,FAI4,0.56,0.15,-0.15,,正面2D
37,FAI5,0.56,0.15,-0.15,,正面2D
38,FAI6,0.56,0.15,-0.15,,正面2D
39,FAI7,0.8,0.1,-0.1,,正面2D
40,FAI8,0.8,0.1,-0.1,,正面2D
41,FAI9,0.8,0.1,-0.1,,正面2D
42,FAI10,0.8,0.1,-0.1,,正面2D
43,FAI11,0.8,0.1,-0.1,,正面2D
44,FAI20,0.8,0.1,-0.1,,正面2D
45,FAI22,0.8,0.1,-0.1,,正面2D
46,FAI23,0.8,0.1,-0.1,,正面2D
47,FAI99,0.8,0.1,-0.1,,正面2D
48,FAI14_1,0.8,0.1,-0.1,,背面3D
49,FAI14_2,0.8,0.1,-0.1,,背面3D
50,FAI14_3,0.8,0.1,-0.1,,背面3D
